,day_year,day_week,week,borough,fhv,2019_night,2019_morn,2019_arvo,2019_even,2020_night,2020_morn,2020_arvo,2020_even,total_case_count,total_probable_case_count,total_hospitalized_count,total_death_count,total_probable_death_count,total_case_count_7day_avg,total_all_case_count_7day_avg,total_hospitalized_count_7day_avg,total_death_count_7day_avg,total_all_death_count_7day_avg,borough_case_count,borough_probable_case_count,borough_hospitalized_count,borough_death_count,borough_probable_death_count,borough_case_count_7day_avg,borough_all_case_count_7day_avg,borough_hospitalized_count_7day_avg,borough_death_count_7day_avg,borough_all_death_count_7day_avg,pre_k_schools,elementary_schools,middle_schools,high_schools,construction,offices,phase_1,restaurants,outdoor_dining,phase_2,phase_3,phase_4,large_capacity_public,gatherings,broadway,movies,stadium_capcity,indoor_religious,curfew
1839,215,0,31,4,1,2923,3061,4150,3540,1496,1747,2871,2298,135,10,32,2,0,253,270,34,5,6,8,0,4,0,0,15,16,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,216,1,31,0,0,95,464,432,276,10,60,82,68,348,25,39,2,1,258,276,34,5,6,96,3,13,1,0,59,62,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841,216,1,31,0,1,6258,33684,29708,29437,15187,27186,36277,34643,348,25,39,2,1,258,276,34,5,6,96,3,13,1,0,59,62,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1842,216,1,31,1,0,491,1691,2158,3504,34,125,273,275,348,25,39,2,1,258,276,34,5,6,93,7,11,0,0,78,84,13,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1843,216,1,31,1,1,13034,62061,60201,71867,20188,47532,65400,60944,348,25,39,2,1,258,276,34,5,6,93,7,11,0,0,78,84,13,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844,216,1,31,2,0,7951,64508,71440,78353,575,10537,15029,8308,348,25,39,2,1,258,276,34,5,6,56,8,6,0,1,46,49,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1845,216,1,31,2,1,13275,98931,98518,119265,14014,51904,61299,55991,348,25,39,2,1,258,276,34,5,6,56,8,6,0,1,46,49,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1846,216,1,31,3,0,455,1068,1342,1880,31,124,253,223,348,25,39,2,1,258,276,34,5,6,84,7,8,1,0,61,66,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1847,216,1,31,3,1,9401,43412,39727,39672,11722,29072,35993,31276,348,25,39,2,1,258,276,34,5,6,84,7,8,1,0,61,66,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1848,216,1,31,4,0,0,1,0,1,0,0,1,6,348,25,39,2,1,258,276,34,5,6,19,0,1,0,0,14,14,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849,216,1,31,4,1,556,4098,4178,2855,947,2618,3665,2444,348,25,39,2,1,258,276,34,5,6,19,0,1,0,0,14,14,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,217,2,31,0,0,66,562,504,309,13,62,66,46,187,19,32,4,2,240,258,33,4,5,47,5,11,1,0,58,61,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
