,day_year,day_week,week,borough,fhv,2019_night,2019_morn,2019_arvo,2019_even,2020_night,2020_morn,2020_arvo,2020_even,borough_case_count,borough_probable_case_count,borough_hospitalized_count,borough_death_count,borough_probable_death_count,borough_case_count_7day_avg,borough_all_case_count_7day_avg,borough_hospitalized_count_7day_avg,borough_death_count_7day_avg,borough_all_death_count_7day_avg,stadium_capcity,restaurants,high_schools,indoor_religious,phase_1
1788,210,2,30,4,0,0.0,0.0,0.0940478276166991,0.47588499532711054,0.0940478276166991,0.0,0.0,0.0,1.1133440539599853,0.0,0.0,0.0,0.0,1.1562690064065475,1.1690321758870559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789,210,2,30,4,1,1.9187364212614786,2.112170609021664,2.1238023668698034,2.088536457226705,1.8899048659306468,2.0638048177816124,2.1093028652915966,2.0537764007603263,1.1133440539599853,0.0,0.0,0.0,0.0,1.1562690064065475,1.1690321758870559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1790,211,3,30,0,0,1.5227830126997552,1.8446917529879816,1.8313364114651132,1.764342099246386,1.1285083975617491,1.3835365735581087,1.493880539808272,1.4687507892374685,1.4746366515748413,0.0,0.7320993680864453,0.0,0.0,1.453173761903945,1.465736890326896,0.7320993680864453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1791,211,3,30,0,1,2.2420348274951576,2.3537435958213093,2.3592314283353915,2.3418303076789964,2.2503119154189464,2.3278466303807543,2.3601463169775716,2.354434972291548,1.4746366515748413,0.0,0.7320993680864453,0.0,0.0,1.453173761903945,1.465736890326896,0.7320993680864453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1792,211,3,30,1,0,1.9182510391443206,2.0266107076383912,2.0645737479207678,2.138771143796052,1.2913203187398075,1.5918145056013675,1.7143310441709676,1.7191403569389776,1.5182757199460604,0.7320993680864453,0.9704217812773649,0.0,0.0,1.4746366515748413,1.493880539808272,0.874591382923689,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1793,211,3,30,1,1,2.3148600689236045,2.4111931017956416,2.427217375994903,2.432535024576067,2.290296092077256,2.379213421202833,2.41535705954248,2.407617436925882,1.5182757199460604,0.7320993680864453,0.9704217812773649,0.0,0.0,1.4746366515748413,1.493880539808272,0.874591382923689,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1794,211,3,30,2,0,2.253374722313954,2.426634962509271,2.435104269879971,2.4442921449890425,1.8837096708833092,2.2349585333514357,2.2758804788990408,2.2181531201669653,1.4012920835590674,0.0,0.47588499532711054,0.0,0.0,1.4326183300679207,1.4465648595477707,0.47588499532711054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,211,3,30,2,1,2.341856632175999,2.457306337200421,2.4732665513072956,2.480380687107865,2.259081255533266,2.3945602940932735,2.4145007500009417,2.4085560369751104,1.4012920835590674,0.0,0.47588499532711054,0.0,0.0,1.4326183300679207,1.4465648595477707,0.47588499532711054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1796,211,3,30,3,0,1.8491427716078928,1.9709904796712732,2.0090025385517585,2.0496997418865406,1.214109997913178,1.55523479881416,1.701221686014351,1.6910086860165965,1.465736890326896,0.7320993680864453,0.874591382923689,0.0940478276166991,0.0,1.4912513280732116,1.5089076184613552,0.834032445247956,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1797,211,3,30,3,1,2.2685677662007353,2.3739043653679195,2.379023581610734,2.3689212079454163,2.22685701235573,2.3328670836250236,2.359484946341487,2.339970678981963,1.465736890326896,0.7320993680864453,0.874591382923689,0.0940478276166991,0.0,1.4912513280732116,1.5089076184613552,0.834032445247956,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
